109.04,151.3,73.475
94.269,138.62,67.132
101.92,106.9,43.272
71.71,103.58,52.648
67.032,81.826,21.761
54.236,65.651,11.241
109.04,151.3,73.475
120.94,167.55,62.54
135.65,184.66,43.495
133.92,206.14,41.111
139.06,227.36,21.752
151.19,243.42,6.821
106.97,149.19,72.351
88.126,159.94,66.1
72.828,159.71,44.142
56.563,177.94,32.654
43.084,185.92,13.396
25.7,193.5,6.5069
109.04,151.3,73.475
145.51,134.43,39.237
175.39,99.003,24.097
221.97,112.83,-20.692
247.37,49.377,10.847
226.04,15.039,7.0381
93.265,120.54,55.09
97.714,113.26,46.42
103.18,105.08,37.561
107.56,97.852,28.903
112.68,89.972,20.108
117.5,82.357,11.368
99.401,153.03,68.833
96.579,159.58,63.575
95.051,164.63,55.896
92.141,171.28,50.804
90.179,176.84,43.937
87.833,182.83,37.79
165.89,118.45,28.758
166.67,113.94,33.418
165.53,106.83,15.736
169.14,103.4,22.204
168.3,96.457,12.707
172.5,92.625,9.638
165.09,118.9,29.291
171.76,122.64,33.316
174.06,124.88,15.744
185.08,123.8,22.089
184.12,132.28,10.775
188.5,136.3,6.7186
106.72,148.88,72.179
111.54,139.02,63.377
119.7,123.03,43.024
125.72,114.11,35.776
132.7,100.23,18.307
137.5,87.5,6.5192
189.14,104.74,14.829
191.18,104.54,9.9891
192.53,106.85,12.41
194.49,106.7,7.8191
196.07,108.17,7.8213
197.8,109,6.0033
136.7,209.64,33.646
132.96,213.5,31.406
134.04,216.52,25.732
129.16,220.05,23.601
129.36,223.7,19.193
127.5,227.3,15.708
226.04,15.039,7.0381
224.84,13.818,5.8329
223.54,12.718,5.0131
222.65,11.154,2.3364
220.97,10.489,3.4598
219.68,9.3824,2.7032
226.04,15.039,7.0381
226.95,13.811,5.948
228.29,13.026,4.7465
229.55,11.688,3.9428
228.97,9.9257,3.3422
229.5,8.5,2.5495
132.75,98.796,17.95
135.66,97.192,15.303
136.38,94.684,12.801
139.44,93.141,10.144
140.89,90.936,7.5937
143,89,5
87.38,158.29,60.026
83.593,167.15,50.34
78.594,175.35,41.317
75.03,184.33,31.969
70.016,192.55,22.137
66.5,201.5,13.509
194.95,100.88,11.918
189.41,92.534,5.9012
196.83,101.63,12.1
190.57,92.12,5.2253
194.07,95.411,7.2607
193.5,93.5,5.7009
122.42,170.76,58.877
128.6,171.27,54.718
133.16,173.07,47.394
139.43,173.61,43.472
144.49,175.19,37.253
150,176.5,32.004
65.966,82.932,26.318
62.529,82.552,24.756
60.77,81.152,20.435
57.235,80.775,19.073
54.976,79.524,15.742
52.25,78.5,13.259
142.06,226.66,21.448
140.55,229.53,18.722
139.98,233.32,14.72
136.8,235.25,12.339
135.51,238.51,8.8302
133.5,241.25,5.7717
92.489,156.07,64.148
81.791,149.98,53.694
72.935,147.22,42.288
63.206,138.79,32.058
53.682,135.01,20.964
44.167,129.17,10.233
87.159,110.58,48.897
90.626,103.13,41.985
92.852,95.565,32.543
96.685,88.258,25.895
100.48,81.259,17.678
104,74,10
115.03,148.32,67.99
127.2,149.59,55.808
138.74,150.26,44.242
150.91,152.09,31.927
162.6,153.52,20.784
174.5,155,9.0139
80.898,149.99,51.848
72.992,147.48,43.596
65.323,143.98,35.475
57.401,141.54,27.214
49.652,138.37,19.049
41.833,135.5,10.845
124.76,175.03,55.803
120.1,184.43,46.713
117.18,193.65,35.346
112.06,202.91,26.991
108.91,212.35,15.78
104.5,221.5,6.5192
